OBJECTID,INSPECTOR,INSPECTIONDATE,RESTAREAID,RESTAREANAME,ROADNAME,CARRIAGEWAY,DECLAREDROADNAME,LOCALROADNAME,ROADNUMBER,DIRECTION,RMACLASS,SRNS,NEARESTINTERSECTION,DISTANCEFROMINT,DIRECTIONFROMINT,TDI,LOCALITY,MUNICIPALITY,VICROADSREGION,VCSDMAPREF,LATITUDE,LONGITUDE,RESTAREATYPE,RESTAREACATEGORY,SUITABLEASTIRA,SITELOCATION,ROADSPEEDLIMIT,BUFFERZONE,BUFFERWIDTH,SURFACETYPE,SURFACECONDITION,DELINEATEDPARKING,TOILETS,DISABLEDTOILETS,TOILETSEWERAGE,PICNICTABLES,BBQ,RUBBISHBINS,WATER,SHADESHELTERPICNIC,SHADESHELTERPARKING,SHADEEXTENT,SHADEDURATION,LIGHTING,TOURISTINFO,COMMERCIALACTIVITY,DRIVERREVIVER,CAMPING,FACILITIESCOMMENTS,NUMBERCARSPACES,NUMBERCARAVANSPACES,NUMBERTRUCKSPACES,NUMBERBDOUBLESPACES,NUMBERHPFVSPACES,TOTALPARKINGAREA,PARKINGCOMMENTS,CARAVANACCESS,TRUCKACCESS,BDOUBLEACCESS,HPFVACCESS,ODVEHICLEACCESS,APPROACHLINEOFSIGHT,EGRESSLINEOFSIGHT,OPPOSITEACCESS,OPPOSITEEGRESS,SIGNAGEMARKINGS,RESTAREASPEEDLIMIT,PEDESTRIANCONFLICT,ACCESSCOMMENTS,SITEAMENITY,FEATURESOFINTEREST,AMENITYCOMMENTS,GENERALCOMMENTS,UNIQUEID,CREATED_DATE,LAST_EDITED_DATE,GLOBALID
362735,,1.43631E+12,1100069,,WESTERN HIGHWAY,WESTBOUND,WESTERN HIGHWAY,WESTERN HIGHWAY,2520,F,AH,M8,OLD MELBOURNE ROAD,167,EAST,88459.326,WARRENHEIP,BALLARAT,WESTERN,76G3,-37.564426,143.934555,SERVICE CENTRE,NOT ASSESSED,NOT ASSESSED,BEND FLAT,80,VEGETATION,20m,ASPHALT,GOOD,GOOD,GOOD,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,TREES,NOT ASSESSED,ALL DAY,GOOD,NONE,FAST FOOD,NO,NO,Shell Service Centre and restaurant diner attached,24,0,0,,,500,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,180,1.46295E+12,1.4847E+12,0cb3913c-85f4-4ad7-81c7-dcb4c8befb11
362736,,1.43631E+12,1100070,,WESTERN HIGHWAY,WESTBOUND,WESTERN HIGHWAY,WESTERN HIGHWAY,2520,F,AH,M8,OLD MELBOURNE ROAD,33,EAST,88593.213,WARRENHEIP,BALLARAT,WESTERN,76G3,-37.564114,143.932922,SERVICE CENTRE,NOT ASSESSED,NOT ASSESSED,BEND FLAT,80,VEGETATION,20m,ASPHALT,GOOD,GOOD,GOOD,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,GOOD,NONE,NONE,NO,NO,No Comments,8,0,0,,,140,No Comments,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,EXCELLENT,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,181,1.46295E+12,1.4847E+12,57f3672d-4745-4baf-95ca-01e424ff3615
362737,,1.43631E+12,1100071,,MIDLAND HIGHWAY,NORTHBOUND,MIDLAND HIGHWAY,MIDLAND HIGHWAY,2590,F,AH,A300,LAKESIDE DRIVE,123,NORTHEAST,101568.25,CRESWICK,HEPBURN,WESTERN,58G9,-37.443295,143.889786,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,BEND FLAT,100,VEGETATION,20m,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,EXCELLENT,EXCELLENT,GOOD,GOOD,TREES,TREES,MOSTLY SHADED,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,5,0,0,,,45,No Comments,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,SCENIC,None,No Comments,No Comments,182,1.46295E+12,1.4847E+12,a53e9b51-9335-4984-932f-7879da804fc2
362738,,1.43631E+12,1100072,Gong Gong Reservoir Park,DAYLESFORD-BALLARAT ROAD,NORTHBOUND,DAYLESFORD-BALLARAT ROAD,BALLARAT-DAYLESFORD ROAD,5220,F,AO,C292,ELIZABETH ROAD,49,EAST,17821.608,GONG GONG,BALLARAT,WESTERN,567R6,-37.550865,143.93071,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,BEND FLAT,80,VEGETATION,50m,GRAVEL,GOOD,NONE,EXCELLENT,EXCELLENT,Not Assessed,EXCELLENT,EXCELLENT,NONE,NONE,TREES,TREES,MOSTLY SHADED,ALL DAY,NONE,EXCELLENT,NONE,NO,NO,No Comments,30,0,0,,,500,No Comments,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,OTHER,NO SIGNS,15km/h speed limit,SCENIC,None,No Comments,No Comments,183,1.46295E+12,1.4847E+12,9c853703-4a9d-4ec3-8600-30b67ffeb256
362739,,1.43631E+12,1100073,,MIDLAND HIGHWAY,NORTHBOUND,MIDLAND HIGHWAY,MIDLAND HIGHWAY,2590,F,AH,A300,MCKAY ROAD,57,SOUTHWEST,113510.897,NEWLYN,HEPBURN,WESTERN,58H8,-37.406834,143.988876,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,80,VEGETATION,20m,GRAVEL,GOOD,NONE,GOOD,NONE,Not Assessed,EXCELLENT,EXCELLENT,GOOD,GOOD,TREES,TREES,SOME SHADE,ALL DAY,GOOD,NONE,NONE,NO,NO,Rest area part of football/netball club,50,0,0,,,500,No Comments,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,Football Ground,No Comments,No Comments,184,1.46295E+12,1.4847E+12,dedf0624-34b3-4aad-a3e0-62c6b091d13a
362740,,1.43631E+12,1100074,,MIDLAND HIGHWAY,NORTHBOUND,MIDLAND HIGHWAY,MIDLAND HIGHWAY,2590,F,AH,A300,JEFFREY ROAD,1218,NORTHEAST,118272.014,BLAMPIED,HEPBURN,WESTERN,59B8,-37.375889,144.02417,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,POOR,POOR,GOOD,GOOD,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,2,0,0,,,30,No Comments,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,185,1.46295E+12,1.4847E+12,cd63829c-467e-4c6c-98f7-f874bb65e19f
362741,,1.43631E+12,1100075,Twin Bridges Picnic Area,MIDLAND HIGHWAY,NORTHBOUND,MIDLAND HIGHWAY,MIDLAND HIGHWAY,2590,F,AH,A300,GOO GOO ROAD,103,NORTHEAST,128848.178,DAYLESFORD,HEPBURN,WESTERN,59D7,-37.34687,144.126205,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,BEND HILL,80,VEGETATION,20m,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,GOOD,GOOD,NONE,NONE,TREES,TREES,MOSTLY SHADED,ALL DAY,NONE,GOOD,NONE,NO,NO,No Comments,5,0,0,,,60,No Comments,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,SCENIC,None,No Comments,No Comments,186,1.46295E+12,1.4847E+12,d9ec2a1c-59b4-456f-897b-b9346047bcb0
362742,,1.43631E+12,1100076,,MIDLAND HIGHWAY,NORTHBOUND,MIDLAND HIGHWAY,MIDLAND HIGHWAY,2590,F,AH,A300,GOUDGES LANE,131,NORTHEAST,161174.837,CAMPBELLS CREEK,MOUNT ALEXANDER,NORTHERN,59D3,-37.110233,144.18425,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,POOR,POOR,NONE,NONE,TREES,TREES,SOME SHADE,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,10,0,0,,,105,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,Historical Marker,No Comments,No Comments,187,1.46295E+12,1.4847E+12,0a335254-a884-4a0a-a2fa-3039ef539e0d
362743,,1.43631E+12,1100077,,PYRENEES HIGHWAY,WESTBOUND,PYRENEES HIGHWAY,PYRENEES HIGHWAY,2740,F,AH,B180,FURZE BUSH LANE,125,EAST,32123.2,NEWSTEAD,MOUNT ALEXANDER,NORTHERN,59B3,-37.101349,144.029449,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NOT ASSESSED,TREES,MOSTLY SHADED,ALL DAY,NONE,NONE,NONE,YES,NO,No Comments,0,0,2,,,180,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,188,1.46295E+12,1.4847E+12,b6d0e7bf-a006-43bc-9f41-83cb6f5efeef
362744,,1.43631E+12,1100078,,BALLARAT-MARYBOROUGH ROAD,SOUTHBOUND,BALLARAT-MARYBOROUGH ROAD,BALLARAT-MARYBOROUGH ROAD,5327,F,AO,C287,SETTLING POND TRACK,12,SOUTH,59746.821,DAISY HILL,CENTRAL GOLDFIELDS,WESTERN,58D3,-37.078892,143.725769,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,NONE,NOT ASSESSED,GRAVEL,POOR,NONE,NONE,NONE,Not Assessed,POOR,POOR,NONE,NONE,TREES,TREES,SOME SHADE,ALL DAY,NONE,NONE,NONE,NO,NO,Picnic table destroyed,0,0,2,,,200,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,189,1.46295E+12,1.4847E+12,e446d063-e784-4e3b-b530-4520f3e88bcc
362745,,1.43631E+12,1100079,,SUNRAYSIA HIGHWAY,SOUTHBOUND,SUNRAYSIA HIGHWAY,SUNRAYSIA HIGHWAY,2700,F,AH,B220,RYANS ROAD,139,SOUTHEAST,6264.992,BLOWHARD,BALLARAT,WESTERN,5.80E+10,-37.4482,143.752655,CARS ONLY,NOT ASSESSED,NOT ASSESSED,BEND FLAT,100,VEGETATION,20m,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,EXCELLENT,NONE,NONE,NONE,TREES,NO SHADE,NOT ASSESSED,ALL DAY,NONE,GOOD,NONE,NO,NO,No Comments,5,0,3,,,320,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,Historical Marker,No Comments,No Comments,190,1.46295E+12,1.4847E+12,e02c46b7-43a7-476e-b53d-f4114057cd7c
362746,,1.43631E+12,1100080,,SUNRAYSIA HIGHWAY,NORTHBOUND,SUNRAYSIA HIGHWAY,SUNRAYSIA HIGHWAY,2700,F,AH,B220,MARK STREET,276,SOUTHEAST,21591.872,WAUBRA,PYRENEES,WESTERN,58C7,-37.353058,143.631363,CARS AND TRUCKS,NOT ASSESSED,NOT ASSESSED,BEND FLAT,80,VEGETATION,20m,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,EXCELLENT,EXCELLENT,NOT ASSESSED,NO SHADE,NOT ASSESSED,NO SHADE,NONE,EXCELLENT,NONE,NO,NO,No Comments,3,0,2,,,180,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,Wind Farm,No Comments,No Comments,191,1.46295E+12,1.4847E+12,e6597824-8d76-4144-a8ed-970fff603e9d
362747,,1.43631E+12,1100081,,SUNRAYSIA HIGHWAY,SOUTHBOUND,SUNRAYSIA HIGHWAY,SUNRAYSIA HIGHWAY,2700,F,AH,B220,MORVELLS LANE,660,NORTHWEST,32106.797,LEXTON,PYRENEES,WESTERN,58A6,-37.288864,143.547287,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,BEND FLAT,100,VEGETATION,50m,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,GOOD,GOOD,NONE,NONE,TREES,TREES,SOME SHADE,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,5,0,0,,,100,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,192,1.46295E+12,1.4847E+12,91101be5-33b7-43c9-8715-dae8ed0c726d
362748,,1.43631E+12,1100082,,SUNRAYSIA HIGHWAY,NORTHBOUND,SUNRAYSIA HIGHWAY,SUNRAYSIA HIGHWAY,2700,F,AH,B220,BURRABRI ROAD,184,SOUTH,43241.459,LEXTON,PYRENEES,WESTERN,58A5,-37.208969,143.514893,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,NONE,NOT ASSESSED,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,2,,,150,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,193,1.46295E+12,1.4847E+12,4eb21a71-cf84-4977-84be-bb330ce4f208
362749,,1.43631E+12,1100083,,SUNRAYSIA HIGHWAY,NORTHBOUND,SUNRAYSIA HIGHWAY,SUNRAYSIA HIGHWAY,2700,F,AH,B220,HICKEY LANE,1002,SOUTHWEST,45750.932,LEXTON,PYRENEES,WESTERN,58A5,-37.189716,143.523743,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,BEND FLAT,100,VEGETATION,20m,ASPHALT,EXCELLENT,NONE,NONE,NONE,Not Assessed,POOR,POOR,NONE,NONE,TREES,TREES,MOSTLY SHADED,ALL DAY,NONE,NONE,NONE,NO,NO,Damaged picnic table,5,0,0,,,90,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,SCENIC,None,No Comments,No Comments,194,1.46295E+12,1.4847E+12,dbc01b11-6282-4cce-8659-a84ae6b2366d
362750,,1.43631E+12,1100084,,PYRENEES HIGHWAY,EASTBOUND,PYRENEES HIGHWAY,PYRENEES HIGHWAY,2740,F,AH,B180,SLAUGHTERHOUSE ROAD,129,SOUTHEAST,84645.035,AVOCA,PYRENEES,WESTERN,57J3,-37.094379,143.497406,CARS AND TRUCKS,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,NONE,NOT ASSESSED,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,GOOD,GOOD,NONE,NONE,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,2,,,180,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,195,1.46295E+12,1.4847E+12,e03637a8-1628-4dd7-93ac-c2de9287c128
362751,,1.43631E+12,1100085,,PYRENEES HIGHWAY,WESTBOUND,PYRENEES HIGHWAY,ELGIN ROAD,2740,F,AH,B180,PHELAN ROAD,446,WEST,62713.138,MARYBOROUGH,CENTRAL GOLDFIELDS,WESTERN,58D2,-37.051693,143.714752,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,NONE,NOT ASSESSED,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,TREES,TREES,SOME SHADE,AFTERNOON,NONE,NONE,NONE,NO,NO,No Comments,0,0,1,,,75,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,NONE,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,196,1.46295E+12,1.4847E+12,58578b72-587b-442a-968e-661f1126b48c
362752,,1.43631E+12,1100086,,BALLARAT-BURRUMBEET ROAD,NORTHBOUND,BALLARAT-BURRUMBEET ROAD,REMEMBRANCE DRIVE,5087,F,AO,C805,ALEXANDERS ROAD,554,NORTH,25245.402,BURRUMBEET,BALLARAT,WESTERN,58C9,-37.485062,143.673126,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,1,,,105,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,197,1.46295E+12,1.4847E+12,17efbcf3-716f-41c7-908b-aa3f352a4434
362753,,1.43631E+12,1100087,,WESTERN HIGHWAY,WESTBOUND,WESTERN FREEWAY,WESTERN HIGHWAY,2520,F,FW,M8,MODESTY LANE,764,WEST,123972.855,BURRUMBEET,PYRENEES,WESTERN,58B9,-37.463734,143.573395,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,110,VEGETATION,20m,ASPHALT,EXCELLENT,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,7,,,600,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,NONE,40,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,198,1.46295E+12,1.4847E+12,1712f3ba-8bb1-4529-a826-2461bcf73a92
362754,,1.43631E+12,1100088,,WESTERN HIGHWAY,WESTBOUND,WESTERN HIGHWAY,WESTERN HIGHWAY,2520,F,AH,A8,PACKHAMS LANE,219,SOUTHWEST,138070.366,BEAUFORT,PYRENEES,WESTERN,57H8,-37.435574,143.422638,CARS ONLY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,110,VEGETATION,20m,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,POOR,NONE,GOOD,NONE,TREES,TREES,SOME SHADE,ALL DAY,NONE,NONE,NONE,NO,NO,Damaged picnic table,10,0,2,,,500,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,199,1.46295E+12,1.4847E+12,d4542c53-be11-4876-8793-09f34724b78d
362755,,1.43631E+12,1100089,,GLENELG HIGHWAY,EASTBOUND,GLENELG HIGHWAY,GLENELG HIGHWAY,2670,F,AH,B160,FLAGSTAFF RIDGE ROAD,219,NORTHWEST,33450.793,LINTON,GOLDEN PLAINS,SOUTH WESTERN,76A4,-37.681755,143.522827,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT HILL,100,NONE,NOT ASSESSED,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,TREES,TREES,SOME SHADE,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,0,0,1,,,75,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,UNSAFE,UNSAFE,NO,NO,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,200,1.46295E+12,1.4847E+12,d21aa20f-87e1-4c2a-b19f-043d3dd6ecd7
362756,,1.43631E+12,1100090,,GLENELG HIGHWAY,WESTBOUND,GLENELG HIGHWAY,GLENELG HIGHWAY,2670,F,AH,B160,FLAGSTAFF RIDGE ROAD,186,NORTHWEST,33417.512,LINTON,GOLDEN PLAINS,SOUTH WESTERN,76A4,-37.682106,143.52298,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT HILL,100,NONE,NOT ASSESSED,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,0,0,1,,,120,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,UNSAFE,UNSAFE,NO,NO,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,201,1.46295E+12,1.4847E+12,01e04f28-306d-41d1-ac72-f32580f31879
362757,,1.43631E+12,1100091,,GLENELG HIGHWAY,EASTBOUND,GLENELG HIGHWAY,GLENELG HIGHWAY,2670,F,AH,B160,JUDDS ROAD,4,SOUTHWEST,22025.19,SCARSDALE,GOLDEN PLAINS,SOUTH WESTERN,76C4,-37.677998,143.638916,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,BEND FLAT,100,VEGETATION,50m,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,GOOD,GOOD,GOOD,GOOD,TREES,TREES,MOSTLY SHADED,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,10,0,2,,,700,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,202,1.46295E+12,1.4847E+12,a10c5fcc-7f2b-4c95-88dc-a8d67f599dee
362758,,1.43631E+12,1100092,,GLENELG HIGHWAY,EASTBOUND,GLENELG HIGHWAY,GLENELG HIGHWAY,2670,F,AH,B160,WHITES ROAD,589,NORTHEAST,14655.97,SMYTHESDALE,GOLDEN PLAINS,SOUTH WESTERN,76D4,-37.632854,143.696045,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,NONE,NOT ASSESSED,GRAVEL,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,YES,No Comments,0,0,4,,,500,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,203,1.46295E+12,1.4847E+12,db0589e3-439a-408b-b7d5-387aeb68f6d8
362759,,1.43631E+12,1100093,,MIDLAND HIGHWAY,NORTHBOUND,MIDLAND HIGHWAY,MIDLAND HIGHWAY,2590,F,AH,A300,CLARENDON-BLUE BRIDGE ROAD,194,SOUTHEAST,61407.473,CLARENDON,MOORABOOL,WESTERN,76H5,-37.709419,143.982513,PICNIC AREA,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,50m,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,POOR,POOR,POOR,POOR,TREES,TREES,MOSTLY SHADED,ALL DAY,NONE,NONE,NONE,NO,NO,No Comments,10,0,0,,,150,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,204,1.46295E+12,1.4847E+12,8bbed2f8-3869-47cc-9489-2c67370b46c9
362760,,1.43631E+12,1100094,Jack Dillon Reserve,GEELONG-BALLAN ROAD,SOUTHBOUND,GEELONG-BALLAN ROAD,GEELONG-BALLAN ROAD,5062,F,AO,C141,BEREMBOKE ROAD,451,NORTHWEST,34025.707,DURDIDWARRAH,GOLDEN PLAINS,SOUTH WESTERN,7.70E+08,-37.822624,144.206421,CARS ONLY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,GRAVEL,GOOD,NONE,GOOD,GOOD,Not Assessed,NONE,NONE,NONE,NONE,TREES,TREES,SOME SHADE,ALL DAY,NONE,GOOD,NONE,NO,NO,Damaged water tap,25,0,0,,,275,No Comments,YES,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,SCENIC,None,No Comments,No Comments,205,1.46295E+12,1.4847E+12,8b72d3a9-7faa-4616-bc95-691ca2e9a413
362761,,1.43631E+12,1100095,,WESTERN HIGHWAY,EASTBOUND,WESTERN FREEWAY,WESTERN FREEWAY,2520,R,FW,M8,BULMANS ROAD,1578,WEST,389814.614,BROOKFIELD,MELTON,METRO NORTH WEST,435K2,-37.686562,144.531189,TRUCK PARKING BAY,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,110,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,NONE,NONE,NO SHADE,NO SHADE,NOT ASSESSED,NO SHADE,NONE,NONE,NONE,NO,NO,Emergency phone,0,0,7,,,750,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,NONE,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,206,1.46295E+12,1.4847E+12,871c96eb-bb9b-4a2c-9919-cfb33d6d8c27
